Scraped: 2024-26-10 
category: PRADA-BAGS 
product_id,brand,product_name,curr_price,listing_url,source
14645226-14477535,PRADA,SHOULDER BAG,2537,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/SHOULDER-BAG/14477535/14645226/PRADA/,ITALIST
14628287-14460596,PRADA,LIGHT PINK LEATHER CROSSBODY BAG,2775,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/LIGHT-PINK-LEATHER-CROSSBODY-BAG/14460596/14628287/PRADA/,ITALIST
14625136-14457445,PRADA,CARAMEL LEATHER CROSSBODY BAG,2091,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/CARAMEL-LEATHER-CROSSBODY-BAG/14457445/14625136/PRADA/,ITALIST
14625132-14457441,PRADA,GREY LEATHER CROSSBODY BAG,2775,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/GREY-LEATHER-CROSSBODY-BAG/14457441/14625132/PRADA/,ITALIST
14625131-14457440,PRADA,CARAMEL LEATHER MINI PRADA RE-EDITION SHOULDER BAG,2091,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/CARAMEL-LEATHER-MINI-PRADA-RE-EDITION-SHOULDER-BAG/14457440/14625131/PRADA/,ITALIST
14625130-14457439,PRADA,BLACK LEATHER MINI PRADA RE-EDITION SHOULDER BAG,2091,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-MINI-PRADA-RE-EDITION-SHOULDER-BAG/14457439/14625130/PRADA/,ITALIST
14625129-14457438,PRADA,PASTEL YELLOW LEATHER ARQU̬ HANDBAG,2189,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/PASTEL-YELLOW-LEATHER-ARQUA-HANDBAG/14457438/14625129/PRADA/,ITALIST
14597352-14429661,PRADA,BLACK LEATHER SHOPPING BAG,4240,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-SHOPPING-BAG/14429661/14597352/PRADA/,ITALIST
14573761-14406070,PRADA,EMBROIDERED FABRIC LARGE SYMBOLE SHOPPING BAG,2775,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-LARGE-SYMBOLE-SHOPPING-BAG/14406070/14573761/PRADA/,ITALIST
14572513-14404822,PRADA,CARAMEL LEATHER CROSSBODY BAG,2189,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/CARAMEL-LEATHER-CROSSBODY-BAG/14404822/14572513/PRADA/,ITALIST
14568709-14401018,PRADA,SHOULDER BAG,3955,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/SHOULDER-BAG/14401018/14568709/PRADA/,ITALIST
14568707-14401016,PRADA,BELTED HANDBAG,4986,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/BELTED-HANDBAG/14401016/14568707/PRADA/,ITALIST
