price_change_percent_signed,product_id,product_name,type,curr_price,curr_scrape_date,prev_price,prev_scrape_date,listing_url,source,paths
+119.12%,14664353-14496662,BLACK NAPPA LEATHER MINI BUCKET BAG,PRODUCT_PRICE_CHANGE,2189.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-NAPPA-LEATHER-MINI-BUCKET-BAG/14496662/14664353/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+216.82%,14664352-14496661,BLACK LEATHER BUCKET BAG,PRODUCT_PRICE_CHANGE,3165.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-LEATHER-BUCKET-BAG/14496661/14664352/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+236.44%,14650505-14482814,LOGO MEDIUM TOTE BAG,PRODUCT_PRICE_CHANGE,3361.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/LOGO-MEDIUM-TOTE-BAG/14482814/14650505/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+119.12%,14650492-14482801,CARAMEL LEATHER CROSSBODY BAG,PRODUCT_PRICE_CHANGE,2189.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/CARAMEL-LEATHER-CROSSBODY-BAG/14482801/14650492/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+153.95%,14645226-14477535,SHOULDER BAG,PRODUCT_PRICE_CHANGE,2537.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/SHOULDER-BAG/14477535/14645226/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+177.78%,14628287-14460596,LIGHT PINK LEATHER CROSSBODY BAG,PRODUCT_PRICE_CHANGE,2775.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/LIGHT-PINK-LEATHER-CROSSBODY-BAG/14460596/14628287/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+109.31%,14625136-14457445,CARAMEL LEATHER CROSSBODY BAG,PRODUCT_PRICE_CHANGE,2091.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/CARAMEL-LEATHER-CROSSBODY-BAG/14457445/14625136/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+177.78%,14625132-14457441,GREY LEATHER CROSSBODY BAG,PRODUCT_PRICE_CHANGE,2775.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/GREY-LEATHER-CROSSBODY-BAG/14457441/14625132/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+109.31%,14625131-14457440,CARAMEL LEATHER MINI PRADA RE-EDITION SHOULDER BAG,PRODUCT_PRICE_CHANGE,2091.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/CARAMEL-LEATHER-MINI-PRADA-RE-EDITION-SHOULDER-BAG/14457440/14625131/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+109.31%,14625130-14457439,BLACK LEATHER MINI PRADA RE-EDITION SHOULDER BAG,PRODUCT_PRICE_CHANGE,2091.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-MINI-PRADA-RE-EDITION-SHOULDER-BAG/14457439/14625130/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+119.12%,14625129-14457438,PASTEL YELLOW LEATHER ARQU̬ HANDBAG,PRODUCT_PRICE_CHANGE,2189.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/PASTEL-YELLOW-LEATHER-ARQUA-HANDBAG/14457438/14625129/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+324.42%,14597352-14429661,BLACK LEATHER SHOPPING BAG,PRODUCT_PRICE_CHANGE,4240.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-SHOPPING-BAG/14429661/14597352/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+177.78%,14573761-14406070,EMBROIDERED FABRIC LARGE SYMBOLE SHOPPING BAG,PRODUCT_PRICE_CHANGE,2775.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-LARGE-SYMBOLE-SHOPPING-BAG/14406070/14573761/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+119.12%,14572513-14404822,CARAMEL LEATHER CROSSBODY BAG,PRODUCT_PRICE_CHANGE,2189.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/CARAMEL-LEATHER-CROSSBODY-BAG/14404822/14572513/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+295.90%,14568709-14401018,SHOULDER BAG,PRODUCT_PRICE_CHANGE,3955.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/SHOULDER-BAG/14401018/14568709/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+399.10%,14568707-14401016,BELTED HANDBAG,PRODUCT_PRICE_CHANGE,4986.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/BELTED-HANDBAG/14401016/14568707/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+246.15%,14565352-14397661,CARAMEL LEATHER SHOPPING BAG,PRODUCT_PRICE_CHANGE,3458.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/CARAMEL-LEATHER-SHOPPING-BAG/14397661/14565352/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+285.29%,14565351-14397660,CARAMEL LEATHER SHOPPING BAG,PRODUCT_PRICE_CHANGE,3849.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/CARAMEL-LEATHER-SHOPPING-BAG/14397660/14565351/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
