product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date,sold_date,sold,url,source
14572513-14404822,999.0,2024-10-17,2189.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14404822/14572513/prada/,ITALIST
14712348-14544657,999.0,2024-10-23,3849.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/pelle/14544657/14712348/prada/,ITALIST
14551812-14384121,999.0,2024-10-17,2189.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/black-leather-crossbody-bag/14384121/14551812/prada/,ITALIST
14568709-14401018,999.0,2024-10-17,3955.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14401018/14568709/prada/,ITALIST
14602957-14435266,999.0,2024-10-17,2091.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/tote/14435266/14602957/prada/,ITALIST
14602956-14435265,999.0,2024-10-17,3361.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/tote/14435265/14602956/prada/,ITALIST
14602953-14435262,999.0,2024-10-17,1554.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/backpacks/backpack/14435262/14602953/prada/,ITALIST
14586701-14419010,999.0,2024-10-17,2264.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/prada-arque-leather-shoulder-bag/14419010/14586701/prada/,ITALIST
14517370-14349679,999.0,2024-10-17,1701.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/midnight-blue-re-nylon-large-re-edition-1978-shopping-bag/14349679/14517370/prada/,ITALIST
14598217-14430526,999.0,2024-10-17,1115.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/luggage/calf-leather-pouch/14430526/14598217/prada/,ITALIST
14385668-14217977,999.0,2024-10-17,1701.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/mud-re-nylon-large-re-edition-1978-shopping-bag/14217977/14385668/prada/,ITALIST
14533201-14365510,999.0,2024-10-17,2189.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14365510/14533201/prada/,ITALIST
14707738-14540047,999.0,2024-10-23,3361.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-shoulder-bag/14540047/14707738/prada/,ITALIST
14627108-14459417,999.0,2024-10-17,3477.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/prada-buckle-small-leather-bag/14459417/14627108/prada/,ITALIST
14633205-14465514,999.0,2024-10-17,2163.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/leather-crossbody-medium-bag/14465514/14633205/prada/,ITALIST
14609462-14441771,999.0,2024-10-17,2580.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/cleo-shoulder-bag/14441771/14609462/prada/,ITALIST
14627105-14459414,999.0,2024-10-17,3982.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/prada-buckle-leather-bag/14459414/14627105/prada/,ITALIST
14628464-14460773,999.0,2024-10-17,4240.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14460773/14628464/prada/,ITALIST
14687437-14519746,999.0,2024-10-17,1174.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bag/14519746/14687437/prada/,ITALIST
14679027-14511336,999.0,2024-10-17,2189.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/light-grey-leather-arqua-handbag/14511336/14679027/prada/,ITALIST
14670757-14503066,999.0,2024-10-17,1749.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/backpacks/black-nylon-small-backpack/14503066/14670757/prada/,ITALIST
14664353-14496662,999.0,2024-10-17,2189.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/black-nappa-leather-mini-bucket-bag/14496662/14664353/prada/,ITALIST
14664352-14496661,999.0,2024-10-17,3165.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-bucket-bag/14496661/14664352/prada/,ITALIST
