product_id,product_name,curr_price,curr_scrape_date,prev_price,prev_scrape_date,sold_date,sold,url,source
14625129-14457438,PASTEL YELLOW LEATHER ARQU̬ HANDBAG,999.0,2024-10-23,2189.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/pastel-yellow-leather-arqua-handbag/14457438/14625129/prada/,ITALIST
14597352-14429661,BLACK LEATHER SHOPPING BAG,999.0,2024-10-23,4240.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/black-leather-shopping-bag/14429661/14597352/prada/,ITALIST
14573761-14406070,EMBROIDERED FABRIC LARGE SYMBOLE SHOPPING BAG,999.0,2024-10-23,2775.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14406070/14573761/prada/,ITALIST
14572513-14404822,CARAMEL LEATHER CROSSBODY BAG,999.0,2024-10-23,2189.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14404822/14572513/prada/,ITALIST
14568709-14401018,SHOULDER BAG,999.0,2024-10-23,3955.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14401018/14568709/prada/,ITALIST
14568707-14401016,BELTED HANDBAG,999.0,2024-10-23,4986.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/belted-handbag/14401016/14568707/prada/,ITALIST
14565337-14397646,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,999.0,2024-10-23,2580.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14397646/14565337/prada/,ITALIST
14565352-14397661,CARAMEL LEATHER SHOPPING BAG,999.0,2024-10-23,3458.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14397661/14565352/prada/,ITALIST
14565351-14397660,CARAMEL LEATHER SHOPPING BAG,999.0,2024-10-23,3849.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14397660/14565351/prada/,ITALIST
14565350-14397659,RAFFIA CROSSBODY BAG,999.0,2024-10-23,2091.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/raffia-crossbody-bag/14397659/14565350/prada/,ITALIST
14598217-14430526,CALF LEATHER POUCH,999.0,2024-10-23,1115.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/luggage/calf-leather-pouch/14430526/14598217/prada/,ITALIST
14602956-14435265,TOTE,999.0,2024-10-23,3361.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/tote/14435265/14602956/prada/,ITALIST
14554718-14387027,CAPPUCCINO LEATHER SHOULDER BAG,999.0,2024-10-23,2511.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/cappuccino-leather-shoulder-bag/14387027/14554718/prada/,ITALIST
14551812-14384121,BLACK LEATHER CROSSBODY BAG,999.0,2024-10-23,2189.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/black-leather-crossbody-bag/14384121/14551812/prada/,ITALIST
14565349-14397658,BLACK RAFFIA CROSSBODY BAG,999.0,2024-10-23,2091.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/black-raffia-crossbody-bag/14397658/14565349/prada/,ITALIST
14565340-14397649,EMBROIDERED FABRIC LARGE SYMBOLE SHOPPING BAG,999.0,2024-10-23,2970.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14397649/14565340/prada/,ITALIST
14565339-14397648,EMBROIDERED FABRIC LARGE SYMBOLE SHOPPING BAG,999.0,2024-10-23,2775.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14397648/14565339/prada/,ITALIST
14565338-14397647,EMBROIDERED FABRIC MICRO SYMBOLE HANDBAG,999.0,2024-10-23,1945.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/embroidered-fabric-micro-symbole-handbag/14397647/14565338/prada/,ITALIST
14533201-14365510,BLACK LEATHER CROSSBODY BAG,999.0,2024-10-23,2189.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14365510/14533201/prada/,ITALIST
