price_change_percent_signed,product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date,product_name,listing_url,source_file
+187.49%,14517365-14349674,2872.0,2024-10-16,999.0,2024-10-16,Sand Leather Small Panier Handbag,https://www.italist.com/us/women/bags/totes/sand-leather-small-panier-handbag/14349674/14517365/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+109.31%,14463824-14296133,2091.0,2024-10-16,999.0,2024-10-16,Black Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14296133/14463824/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+145.95%,14455300-14287609,2457.0,2024-10-16,999.0,2024-10-16,Re-edition 1978 Re-nylon And Saffiano Large Black Top Case,https://www.italist.com/us/women/bags/luggage/re-edition-1978-re-nylon-and-saffiano-large-black-top-case/14287609/14455300/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+138.64%,14445396-14277705,2384.0,2024-10-16,999.0,2024-10-16,Light Pink Leather Shoulder Bag,https://www.italist.com/us/women/bags/totes/light-pink-leather-shoulder-bag/14277705/14445396/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+70.27%,14385668-14217977,1701.0,2024-10-16,999.0,2024-10-16,Mud Re-nylon Large Re-edition 1978 Shopping Bag,https://www.italist.com/us/women/bags/totes/mud-re-nylon-large-re-edition-1978-shopping-bag/14217977/14385668/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+116.52%,14633205-14465514,2163.0,2024-10-16,999.0,2024-10-16,Leather Crossbody Medium Bag,https://www.italist.com/us/women/bags/shoulder-bags/leather-crossbody-medium-bag/14465514/14633205/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+248.05%,14627108-14459417,3477.0,2024-10-16,999.0,2024-10-16,Prada Buckle Small Leather Bag,https://www.italist.com/us/women/bags/totes/prada-buckle-small-leather-bag/14459417/14627108/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+298.60%,14627105-14459414,3982.0,2024-10-16,999.0,2024-10-16,Prada Buckle Leather Bag,https://www.italist.com/us/women/bags/totes/prada-buckle-leather-bag/14459414/14627105/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+109.31%,14602957-14435266,2091.0,2024-10-16,999.0,2024-10-16,Tote,https://www.italist.com/us/women/bags/totes/tote/14435266/14602957/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+236.44%,14602956-14435265,3361.0,2024-10-16,999.0,2024-10-16,Tote,https://www.italist.com/us/women/bags/totes/tote/14435265/14602956/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+55.56%,14602953-14435262,1554.0,2024-10-16,999.0,2024-10-16,Backpack,https://www.italist.com/us/women/bags/backpacks/backpack/14435262/14602953/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+11.61%,14602941-14435250,1115.0,2024-10-16,999.0,2024-10-16,Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14435250/14602941/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+126.63%,14586701-14419010,2264.0,2024-10-16,999.0,2024-10-16,Prada Arqué Leather Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/prada-arque-leather-shoulder-bag/14419010/14586701/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+89.79%,14566061-14398370,1896.0,2024-10-16,999.0,2024-10-16,Tote,https://www.italist.com/us/women/bags/totes/tote/14398370/14566061/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+324.42%,14628464-14460773,4240.0,2024-10-16,999.0,2024-10-16,Caramel Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14460773/14628464/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+158.26%,14609462-14441771,2580.0,2024-10-16,999.0,2024-10-16,Cleo Shoulder Bag,https://www.italist.com/us/women/bags/totes/cleo-shoulder-bag/14441771/14609462/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+11.61%,14598217-14430526,1115.0,2024-10-16,999.0,2024-10-16,Calf Leather Pouch,https://www.italist.com/us/women/bags/luggage/calf-leather-pouch/14430526/14598217/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+310.11%,14544713-14377022,4097.0,2024-10-16,999.0,2024-10-16,Caramel Leather Medium Prada Buckle Handbag,https://www.italist.com/us/women/bags/totes/caramel-leather-medium-prada-buckle-handbag/14377022/14544713/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
