price_change_percent_signed,product_id,product_name,curr_price,curr_scrape_date,prev_price,prev_scrape_date,listing_url,source
+151.35%,14554718-14387027,CAPPUCCINO LEATHER SHOULDER BAG,2511.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/CAPPUCCINO-LEATHER-SHOULDER-BAG/14387027/14554718/PRADA/,ITALIST
+119.12%,14551812-14384121,BLACK LEATHER CROSSBODY BAG,2189.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-CROSSBODY-BAG/14384121/14551812/PRADA/,ITALIST
+119.12%,14533201-14365510,BLACK LEATHER CROSSBODY BAG,2189.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-LEATHER-CROSSBODY-BAG/14365510/14533201/PRADA/,ITALIST
+70.27%,14517370-14349679,MIDNIGHT BLUE RE-NYLON LARGE RE-EDITION 1978 SHOPPING BAG,1701.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/MIDNIGHT-BLUE-RE-NYLON-LARGE-RE-EDITION-1978-SHOPPING-BAG/14349679/14517370/PRADA/,ITALIST
+158.26%,14517368-14349677,WHITE LEATHER CLEO SHOULDER BAG,2580.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/WHITE-LEATHER-CLEO-SHOULDER-BAG/14349677/14517368/PRADA/,ITALIST
+187.49%,14517365-14349674,SAND LEATHER SMALL PANIER HANDBAG,2872.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/SAND-LEATHER-SMALL-PANIER-HANDBAG/14349674/14517365/PRADA/,ITALIST
+109.31%,14463824-14296133,BLACK LEATHER CROSSBODY BAG,2091.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-LEATHER-CROSSBODY-BAG/14296133/14463824/PRADA/,ITALIST
+145.95%,14455300-14287609,RE-EDITION 1978 RE-NYLON AND SAFFIANO LARGE BLACK TOP CASE,2457.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/LUGGAGE/RE-EDITION-1978-RE-NYLON-AND-SAFFIANO-LARGE-BLACK-TOP-CASE/14287609/14455300/PRADA/,ITALIST
+138.64%,14445396-14277705,LIGHT PINK LEATHER SHOULDER BAG,2384.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/LIGHT-PINK-LEATHER-SHOULDER-BAG/14277705/14445396/PRADA/,ITALIST
+70.27%,14385668-14217977,MUD RE-NYLON LARGE RE-EDITION 1978 SHOPPING BAG,1701.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/MUD-RE-NYLON-LARGE-RE-EDITION-1978-SHOPPING-BAG/14217977/14385668/PRADA/,ITALIST
+116.52%,14633205-14465514,LEATHER CROSSBODY MEDIUM BAG,2163.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/LEATHER-CROSSBODY-MEDIUM-BAG/14465514/14633205/PRADA/,ITALIST
+248.05%,14627108-14459417,PRADA BUCKLE SMALL LEATHER BAG,3477.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/PRADA-BUCKLE-SMALL-LEATHER-BAG/14459417/14627108/PRADA/,ITALIST
+298.60%,14627105-14459414,PRADA BUCKLE LEATHER BAG,3982.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/PRADA-BUCKLE-LEATHER-BAG/14459414/14627105/PRADA/,ITALIST
+109.31%,14602957-14435266,TOTE,2091.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/TOTE/14435266/14602957/PRADA/,ITALIST
+236.44%,14602956-14435265,TOTE,3361.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/TOTE/14435265/14602956/PRADA/,ITALIST
+55.56%,14602953-14435262,BACKPACK,1554.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/BACKPACKS/BACKPACK/14435262/14602953/PRADA/,ITALIST
+11.61%,14602941-14435250,SHOULDER BAG,1115.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/SHOULDER-BAG/14435250/14602941/PRADA/,ITALIST
+126.63%,14586701-14419010,PRADA ARQUÉ LEATHER SHOULDER BAG,2264.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/PRADA-ARQUE-LEATHER-SHOULDER-BAG/14419010/14586701/PRADA/,ITALIST
+89.79%,14566061-14398370,TOTE,1896.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/TOTE/14398370/14566061/PRADA/,ITALIST
+324.42%,14628464-14460773,CARAMEL LEATHER SHOPPING BAG,4240.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/CARAMEL-LEATHER-SHOPPING-BAG/14460773/14628464/PRADA/,ITALIST
+158.26%,14609462-14441771,CLEO SHOULDER BAG,2580.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/CLEO-SHOULDER-BAG/14441771/14609462/PRADA/,ITALIST
+11.61%,14598217-14430526,CALF LEATHER POUCH,1115.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/LUGGAGE/CALF-LEATHER-POUCH/14430526/14598217/PRADA/,ITALIST
+310.11%,14544713-14377022,CARAMEL LEATHER MEDIUM PRADA BUCKLE HANDBAG,4097.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/CARAMEL-LEATHER-MEDIUM-PRADA-BUCKLE-HANDBAG/14377022/14544713/PRADA/,ITALIST
