price_change_percent_signed,product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date,product_name,listing_url,source_file
+109.31%,14602957-14435266,2091.0,2024-10-23,999.0,2024-10-17,Tote,https://www.italist.com/us/women/bags/totes/tote/14435266/14602957/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+236.44%,14602956-14435265,3361.0,2024-10-23,999.0,2024-10-17,Tote,https://www.italist.com/us/women/bags/totes/tote/14435265/14602956/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+55.56%,14602953-14435262,1554.0,2024-10-23,999.0,2024-10-17,Backpack,https://www.italist.com/us/women/bags/backpacks/backpack/14435262/14602953/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+11.61%,14602941-14435250,1115.0,2024-10-23,999.0,2024-10-17,Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14435250/14602941/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+126.63%,14586701-14419010,2264.0,2024-10-23,999.0,2024-10-17,Prada Arqué Leather Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/prada-arque-leather-shoulder-bag/14419010/14586701/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+89.79%,14566061-14398370,1896.0,2024-10-23,999.0,2024-10-17,Tote,https://www.italist.com/us/women/bags/totes/tote/14398370/14566061/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+324.42%,14628464-14460773,4240.0,2024-10-23,999.0,2024-10-17,Caramel Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14460773/14628464/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+158.26%,14609462-14441771,2580.0,2024-10-23,999.0,2024-10-17,Cleo Shoulder Bag,https://www.italist.com/us/women/bags/totes/cleo-shoulder-bag/14441771/14609462/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+11.61%,14598217-14430526,1115.0,2024-10-23,999.0,2024-10-17,Calf Leather Pouch,https://www.italist.com/us/women/bags/luggage/calf-leather-pouch/14430526/14598217/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+310.11%,14544713-14377022,4097.0,2024-10-23,999.0,2024-10-17,Caramel Leather Medium Prada Buckle Handbag,https://www.italist.com/us/women/bags/totes/caramel-leather-medium-prada-buckle-handbag/14377022/14544713/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+246.15%,14852827-14685136,3458.0,2024-10-23,999.0,2024-10-23,Esterno: 100% Nylon 100% Pelle Fodera: 100% Tessuto Finitura: Metallo Dorato,https://www.italist.com/us/women/bags/totes/esterno-100-nylon-100-pelle-fodera-100-tessuto-finitura-metallo-dorato/14685136/14852827/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+236.44%,14847766-14680075,3361.0,2024-10-23,999.0,2024-10-23,Caramel Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14680075/14847766/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+158.26%,14847204-14679513,2580.0,2024-10-23,999.0,2024-10-23,Embroidered Fabric Small Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14679513/14847204/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+40.94%,14847013-14679322,1408.0,2024-10-23,999.0,2024-10-23,Black Straw Handbag,https://www.italist.com/us/women/bags/totes/black-straw-handbag/14679322/14847013/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+119.12%,14847012-14679321,2189.0,2024-10-23,999.0,2024-10-23,White Leather Arquã¨ Handbag,https://www.italist.com/us/women/bags/totes/white-leather-arqua-handbag/14679321/14847012/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+119.12%,14845898-14678207,2189.0,2024-10-23,999.0,2024-10-23,Two-tone Wicker And Canvas Handbag,https://www.italist.com/us/women/bags/totes/two-tone-wicker-and-canvas-handbag/14678207/14845898/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+177.78%,14843264-14675573,2775.0,2024-10-23,999.0,2024-10-23,Black Nylon Mini Backpack,https://www.italist.com/us/women/bags/backpacks/black-nylon-mini-backpack/14675573/14843264/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+151.35%,14840922-14673231,2511.0,2024-10-23,999.0,2024-10-23,Black Nylon Bucket Bag,https://www.italist.com/us/women/bags/shoulder-bags/black-nylon-bucket-bag/14673231/14840922/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
+278.68%,14840795-14673104,3783.0,2024-10-23,999.0,2024-10-23,Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bag/14673104/14840795/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-23-10_bags_4bbce085/RAW_ITALIST_prada_2024-23-10_bags_4bbce085.csv
