Scraped: 2024-14-10 
category: prada-bags 
product_id,brand,product_name,curr_price,listing_url
14602956-14435265,Prada,Tote,3361,https://www.italist.com/us/women/bags/totes/tote/14435265/14602956/prada/
14602953-14435262,Prada,Backpack,1554,https://www.italist.com/us/women/bags/backpacks/backpack/14435262/14602953/prada/
14602941-14435250,Prada,Shoulder Bag,1115,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14435250/14602941/prada/
14586701-14419010,Prada,Prada Arqué Leather Shoulder Bag,2264,https://www.italist.com/us/women/bags/shoulder-bags/prada-arque-leather-shoulder-bag/14419010/14586701/prada/
14566061-14398370,Prada,Tote,1896,https://www.italist.com/us/women/bags/totes/tote/14398370/14566061/prada/
14530345-14362654,Prada,Tote,968,https://www.italist.com/us/women/bags/totes/tote/14362654/14530345/prada/
14628464-14460773,Prada,Caramel Leather Shopping Bag,4240,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14460773/14628464/prada/
14609462-14441771,Prada,Cleo Shoulder Bag,2580,https://www.italist.com/us/women/bags/totes/cleo-shoulder-bag/14441771/14609462/prada/
14598217-14430526,Prada,Calf Leather Pouch,1115,https://www.italist.com/us/women/bags/luggage/calf-leather-pouch/14430526/14598217/prada/
14544713-14377022,Prada,Caramel Leather Medium Prada Buckle Handbag,4097,https://www.italist.com/us/women/bags/totes/caramel-leather-medium-prada-buckle-handbag/14377022/14544713/prada/
